"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","928","Standard user can login","chromium","2026-03-07","passed","2026-03-07","@smoke Login","smoke\login.spec.ts","",""
"","685","authenticate","setup","2026-03-07","passed","2026-03-07","","set-up\auth.setup.ts","",""
"","2200","Standart user can login","chromium","2026-03-04","passed","2026-03-04","@smoke Login","smoke\login.spec.ts","",""
"","1408","User can add product to cart","chromium","2026-03-07","passed","2026-03-07","@smoke Cart flow","smoke\cart.spec.ts","",""
"","2135","inventory page visual test","chromium","2026-03-07","passed","2026-03-07","","reggresion\inventory-visual-check.spec.ts","",""
"","1167","inventory page visual test","chromium","2026-03-07","passed","2026-03-07","@visual Inventory visual check","regression\inventory-visual-check.spec.ts","",""
"","1113","User can login successfully","chromium","2026-03-04","passed","2026-03-04","@smoke Login","smoke\login.spec.ts","",""
