"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2200","Standart user can login","chromium","Wed Mar 04 20:14:22 UTC 2026","passed","Wed Mar 04 20:14:24 UTC 2026","@smoke Login","smoke\login.spec.ts","",""
"","2135","inventory page visual test","chromium","Sat Mar 07 08:32:30 UTC 2026","passed","Sat Mar 07 08:32:32 UTC 2026","","reggresion\inventory-visual-check.spec.ts","",""
"","1389","User can add product to cart","chromium","Sat Mar 07 14:21:37 UTC 2026","passed","Sat Mar 07 14:21:39 UTC 2026","@smoke Cart flow","smoke/cart.spec.ts","",""
"","574","authenticate","setup","Sat Mar 07 14:21:35 UTC 2026","passed","Sat Mar 07 14:21:36 UTC 2026","","set-up/auth.setup.ts","",""
"","1113","User can login successfully","chromium","Wed Mar 04 20:03:07 UTC 2026","passed","Wed Mar 04 20:03:08 UTC 2026","@smoke Login","smoke\login.spec.ts","",""
"","1543","Standard user can login","chromium","Sat Mar 07 14:21:37 UTC 2026","passed","Sat Mar 07 14:21:39 UTC 2026","@smoke Login","smoke/login.spec.ts","",""
"","1818","inventory page visual test","chromium","Sat Mar 07 14:21:37 UTC 2026","failed","Sat Mar 07 14:21:39 UTC 2026","@visual Inventory visual check","regression/inventory-visual-check.spec.ts","",""
